Model,Composite Score,Accuracy,Precision,Recall,F1-Score,AUC,Rank
Ensemble (RF+LR),0.5521458074767749,0.5058955400341956,0.5296713219790268,0.6386333383261941,0.5756662266113195,0.5357751960918276,1
Random Forest,0.5400351789134438,0.5005809293414335,0.5279989845463187,0.6021859349231451,0.5602264355527535,0.5319330058947197,2
Gradient Boosting,0.48373473162961333,0.5113636363636364,0.4864864864864865,0.42857142857142855,0.45569620253164556,0.5263975155279503,3
Neural Network,0.46627410918600853,0.5,0.47368421052631576,0.42857142857142855,0.45,0.4554865424430642,4
Support Vector Machine,0.42370600414078674,0.5,0.4583333333333333,0.2619047619047619,0.3333333333333333,0.531055900621118,5
