Model Name,Accuracy,Precision,Recall,F1-Score,Specificity,Sensitivity,AUC Score,MCC,FPR,FNR
Ensemble (RF+LR),0.5059,0.5297,0.6386,0.5757,0.4329,0.6386,0.5358,0.0118,0.5671,0.3614
Random Forest,0.5006,0.5280,0.6022,0.5602,0.4617,0.6022,0.5319,0.0012,0.5383,0.3978
Gradient Boosting,0.5114,0.4865,0.4286,0.4557,0.5870,0.4286,0.5264,0.0157,0.4130,0.5714
Support Vector Machine,0.5000,0.4583,0.2619,0.3333,0.7174,0.2619,0.5311,-0.0232,0.2826,0.7381
Neural Network,0.5000,0.4737,0.4286,0.4500,0.5652,0.4286,0.4555,-0.0063,0.4348,0.5714
