INFO 2025-08-20 11:00:36,921 [__main__:1157] 🚀 StockVibePredictor Model Training System v5.0
INFO 2025-08-20 11:00:36,921 [__main__:1158] ================================================================================
INFO 2025-08-20 11:00:36,921 [__main__:1298] 🏥 Running system health check...
INFO 2025-08-20 11:00:36,921 [__main__:1301] 
📁 Directory Check:
INFO 2025-08-20 11:00:36,921 [__main__:1307]   ✅ Models: /Users/dibakar/Documents/Code/Git & Github/Repo/StockVibePredictor/Backend/Scripts/Models
INFO 2025-08-20 11:00:36,921 [__main__:1307]   ✅ Logs: /Users/dibakar/Documents/Code/Git & Github/Repo/StockVibePredictor/Backend/Logs
INFO 2025-08-20 11:00:36,921 [__main__:1307]   ✅ Performance: /Users/dibakar/Documents/Code/Git & Github/Repo/StockVibePredictor/Backend/Scripts/Performance
INFO 2025-08-20 11:00:36,921 [__main__:1310] 
📦 Dependencies Check:
INFO 2025-08-20 11:00:36,921 [__main__:1316]   ✅ All required packages installed
INFO 2025-08-20 11:00:36,921 [__main__:1321] 
🌐 API Connectivity Check:
INFO 2025-08-20 11:00:38,191 [__main__:1325]   ✅ Yahoo Finance API accessible
INFO 2025-08-20 11:00:38,191 [__main__:1332] 
📊 Model Inventory:
INFO 2025-08-20 11:00:38,191 [__main__:1334]   Total models: 94
INFO 2025-08-20 11:00:38,334 [__main__:1049]   ✅ V_model_1w.pkl (vunknown, acc: 53.85%)
INFO 2025-08-20 11:00:38,336 [__main__:1049]   ✅ JNJ_model_1w.pkl (vunknown, acc: 53.85%)
INFO 2025-08-20 11:00:38,339 [__main__:1049]   ✅ AAPL_model_1y.pkl (vunknown, acc: 68.75%)
INFO 2025-08-20 11:00:38,342 [__main__:1049]   ✅ JPM_model_1mo.pkl (vunknown, acc: 48.00%)
INFO 2025-08-20 11:00:38,345 [__main__:1049]   ✅ ^BSESN_model_1w.pkl (vunknown, acc: 61.54%)
INFO 2025-08-20 11:00:38,351 [__main__:1049]   ✅ universal_model_5d.pkl (vunknown, acc: 53.04%)
INFO 2025-08-20 11:00:38,354 [__main__:1049]   ✅ WMT_model_1d.pkl (vunknown, acc: 45.16%)
INFO 2025-08-20 11:00:38,357 [__main__:1049]   ✅ GOOGL_model_1mo.pkl (vunknown, acc: 44.00%)
INFO 2025-08-20 11:00:38,360 [__main__:1049]   ✅ ^BSESN_model_1y.pkl (vunknown, acc: 50.00%)
INFO 2025-08-20 11:00:38,363 [__main__:1049]   ✅ AAPL_model_1w.pkl (vunknown, acc: 38.46%)
INFO 2025-08-20 11:00:38,365 [__main__:1049]   ✅ V_model_1y.pkl (vunknown, acc: 62.50%)
INFO 2025-08-20 11:00:38,368 [__main__:1049]   ✅ JNJ_model_1y.pkl (vunknown, acc: 50.00%)
INFO 2025-08-20 11:00:38,370 [__main__:1049]   ✅ WFC_model_1d.pkl (vunknown, acc: 48.39%)
INFO 2025-08-20 11:00:38,373 [__main__:1049]   ✅ WFC_model_1mo.pkl (vunknown, acc: 56.00%)
INFO 2025-08-20 11:00:38,377 [__main__:1049]   ✅ WFC_model_1w.pkl (vunknown, acc: 46.15%)
INFO 2025-08-20 11:00:38,380 [__main__:1049]   ✅ MSFT_model_1mo.pkl (vunknown, acc: 76.00%)
INFO 2025-08-20 11:00:38,383 [__main__:1049]   ✅ AAPL_model_1d.pkl (vunknown, acc: 38.71%)
INFO 2025-08-20 11:00:38,386 [__main__:1049]   ✅ ^NSEI_model_1mo.pkl (vunknown, acc: 44.00%)
INFO 2025-08-20 11:00:38,389 [__main__:1049]   ✅ AMZN_model_1mo.pkl (vunknown, acc: 52.00%)
INFO 2025-08-20 11:00:38,392 [__main__:1049]   ✅ AMZN_model_1y.pkl (vunknown, acc: 56.25%)
INFO 2025-08-20 11:00:38,395 [__main__:1049]   ✅ universal_model_6mo.pkl (vunknown, acc: 61.64%)
INFO 2025-08-20 11:00:38,398 [__main__:1049]   ✅ GS_model_6mo.pkl (vunknown, acc: 61.90%)
INFO 2025-08-20 11:00:38,401 [__main__:1049]   ✅ AAPL_model_1mo.pkl (vunknown, acc: 60.00%)
INFO 2025-08-20 11:00:38,403 [__main__:1049]   ✅ BAC_model_1mo.pkl (vunknown, acc: 36.00%)
INFO 2025-08-20 11:00:38,409 [__main__:1049]   ✅ JNJ_model_6mo.pkl (vunknown, acc: 57.14%)
INFO 2025-08-20 11:00:38,411 [__main__:1049]   ✅ WMT_model_1w.pkl (vunknown, acc: 46.15%)
INFO 2025-08-20 11:00:38,414 [__main__:1049]   ✅ BAC_model_1y.pkl (vunknown, acc: 53.12%)
INFO 2025-08-20 11:00:38,416 [__main__:1049]   ✅ META_model_6mo.pkl (vunknown, acc: 71.43%)
INFO 2025-08-20 11:00:38,418 [__main__:1049]   ✅ MSFT_model_1w.pkl (vunknown, acc: 53.85%)
INFO 2025-08-20 11:00:38,423 [__main__:1049]   ✅ universal_model_1mo.pkl (vunknown, acc: 52.87%)
INFO 2025-08-20 11:00:38,425 [__main__:1049]   ✅ JPM_model_1d.pkl (vunknown, acc: 41.94%)
INFO 2025-08-20 11:00:38,428 [__main__:1049]   ✅ GS_model_1mo.pkl (vunknown, acc: 48.00%)
INFO 2025-08-20 11:00:38,431 [__main__:1049]   ✅ SPY_model_1y.pkl (vunknown, acc: 56.25%)
INFO 2025-08-20 11:00:38,435 [__main__:1049]   ✅ universal_model_1y.pkl (vunknown, acc: 53.64%)
INFO 2025-08-20 11:00:38,438 [__main__:1049]   ✅ AAPL_model_6mo.pkl (vunknown, acc: 66.67%)
INFO 2025-08-20 11:00:38,441 [__main__:1049]   ✅ JNJ_model_1mo.pkl (vunknown, acc: 56.00%)
INFO 2025-08-20 11:00:38,443 [__main__:1049]   ✅ BAC_model_6mo.pkl (vunknown, acc: 61.90%)
INFO 2025-08-20 11:00:38,447 [__main__:1049]   ✅ GS_model_1y.pkl (vunknown, acc: 68.75%)
INFO 2025-08-20 11:00:38,450 [__main__:1049]   ✅ QQQ_model_1y.pkl (vunknown, acc: 40.62%)
INFO 2025-08-20 11:00:38,452 [__main__:1049]   ✅ META_model_1mo.pkl (vunknown, acc: 56.00%)
INFO 2025-08-20 11:00:38,455 [__main__:1049]   ✅ WFC_model_6mo.pkl (vunknown, acc: 57.14%)
INFO 2025-08-20 11:00:38,457 [__main__:1049]   ✅ ^NSEI_model_1w.pkl (vunknown, acc: 46.15%)
INFO 2025-08-20 11:00:38,463 [__main__:1049]   ✅ universal_model_3mo.pkl (vunknown, acc: 51.79%)
INFO 2025-08-20 11:00:38,465 [__main__:1049]   ✅ MSFT_model_6mo.pkl (vunknown, acc: 71.43%)
INFO 2025-08-20 11:00:38,468 [__main__:1049]   ✅ ^NSEI_model_6mo.pkl (vunknown, acc: 71.43%)
INFO 2025-08-20 11:00:38,471 [__main__:1049]   ✅ AMZN_model_6mo.pkl (vunknown, acc: 66.67%)
INFO 2025-08-20 11:00:38,473 [__main__:1049]   ✅ GOOGL_model_1y.pkl (vunknown, acc: 59.38%)
INFO 2025-08-20 11:00:38,476 [__main__:1049]   ✅ META_model_1y.pkl (vunknown, acc: 62.50%)
INFO 2025-08-20 11:00:38,479 [__main__:1049]   ✅ ^NSEI_model_1d.pkl (vunknown, acc: 56.67%)
INFO 2025-08-20 11:00:38,483 [__main__:1049]   ✅ ARKK_model_1y.pkl (vunknown, acc: 56.25%)
INFO 2025-08-20 11:00:38,485 [__main__:1049]   ✅ GOOGL_model_6mo.pkl (vunknown, acc: 66.67%)
INFO 2025-08-20 11:00:38,487 [__main__:1049]   ✅ JPM_model_1w.pkl (vunknown, acc: 53.85%)
INFO 2025-08-20 11:00:38,490 [__main__:1049]   ✅ MSFT_model_1d.pkl (vunknown, acc: 58.06%)
INFO 2025-08-20 11:00:38,490 [__main__:1056] 
🎯 Validation complete: 94 compatible, 0 incompatible
INFO 2025-08-20 11:00:38,490 [__main__:1353] 
✅ Execution completed successfully
